,Name,Neighborhood,Price,Votes,agg_rating
8,Lalo's Frutitas y Más (Balboa Boutiques) ,Marbella/Area Bancaria,12,503,13.3
182,Onze (San Francisco) ,San Francisco,12,229,10.2
6,dipndip (Altaplaza Mall) ,Condado del Rey,12,860,13.3
189,Sushi Express (Albrook Mall) ,Albrook/Clayton,12,89,9.8
83,Athanasiou (Multiplaza) ,Paitilla/Punta Pacifica,12,172,12.2
24,Paddle Coffee ,El Dorado/Bethania,12,188,13.5
162,Don Gennaro ,Condado del Rey,12,109,11.4
26,Anti.burger ,San Francisco,12,967,12.9
45,Cachapas Don Luis (San Francisco) ,San Francisco,12,341,11.7
94,Don Lee (El Dorado) ,El Dorado/Bethania,12,271,11.1
37,Rock Burger (Marbella) ,Marbella/Area Bancaria,12,108,12.5
79,Onze (Costa del Este) ,Costa del Este,12,108,12
96,Wing Zone (Costa del Este) ,Costa del Este,12,123,11.4
76,Carl's Jr. (Cincuentenario) ,San Francisco,12,125,12
73,Restaurante Bingo 90 ,Bella Vista,12,136,11.7
100,Suvlas (Albrook Mall) ,Albrook/Clayton,12,96,11.5
107,Momi (El Dorado) ,El Dorado/Bethania,12,97,11.2
70,Onze (Area Bancaria) ,Marbella/Area Bancaria,12,174,11.8
68,Deli Gourmet (Albrook) ,Albrook/Clayton,12,187,12.3
72,Deli Gourmet (El Dorado) ,El Dorado/Bethania,12,171,12
113,Don Lee (Marbella) ,Marbella/Area Bancaria,12,118,11.3
63,Suvlas (Costa del Este) ,Costa del Este,12,456,12.7
62,Pan & Canela (Ciudad del Saber) ,Albrook/Clayton,12,567,12.6
61,Panda House ,Condado del Rey,12,672,12
120,Parrillada de la Estancia (Albrook) ,Albrook/Clayton,12,94,10
66,Carl's Jr. (Multiplaza) ,Paitilla/Punta Pacifica,12,268,11.7
54,Café Unido (Casco Viejo) ,Casco Antiguo,12,134,13.4
135,Benissimo ,Casco Antiguo,12,85,13.5
437,Deli Gourmet (San Francisco) ,San Francisco,13,612,12
407,New York Bagel Cafe ,El Carmen/El Cangrejo,13,209,12.3
242,La Rosti Trattoria Express ,Costa del Este,13,195,13.9
507,La Parrilla de la Estancia (El Dorado) ,El Dorado/Bethania,13,102,11.1
328,Chicken Box Roasted ,Costa del Este,13,552,12.7
236,Boquete Bakery Café & Grill ,Albrook/Clayton,13,352,13.6
335,Leto Coffee Brew Bar (San Francisco) ,San Francisco,13,486,13.4
515,Mr Chen (Condado del Rey) ,Condado del Rey,13,286,11.1
501,Kouzina (Multiplaza) ,Paitilla/Punta Pacifica,13,272,11.2
303,Aktibao ,San Francisco,13,128,13.5
536,Rock Burger (Altaplaza) ,Condado del Rey,13,106,10.6
254,Fogata Familiar ,San Francisco,13,97,12.5
255,Hong Kong Bakery ,El Dorado/Bethania,13,94,12.2
412,Suvlas (El Cangrejo) ,El Carmen/El Cangrejo,13,182,12.3
293,La Inmaculada (Costa del Este) ,Costa del Este,13,193,12.5
524,Rock Burger (El Dorado) ,El Dorado/Bethania,13,91,11.3
285,Buco Pollo (San Francisco) ,San Francisco,13,308,12.5
531,Cuatro & Maracas (Bella Vista) ,Bella Vista,13,171,10.7
445,Pollo Tropical (Albrook) ,Albrook/Clayton,13,288,11.1
339,Athanasiou (Obarrio) ,Obarrio,13,435,13.2
541,Sushi Express (Multiplaza Mall) ,San Francisco,13,151,10
300,La Chiva Gourmet ,Obarrio,13,139,12.9
343,Tosto Coffee Co (Condado del Rey) ,Condado del Rey,13,399,13.1
383,Suvlas (Marbella) ,Marbella/Area Bancaria,13,956,12.5
204,Saint-Honoré (Clayton) ,Albrook/Clayton,13,731,13.4
362,Ferretti Gelato e Cafe (Costa del Este) ,Costa del Este,13,218,13.1
399,Suvlas (Bella Vista) ,Bella Vista,13,294,12.4
359,Deli Gourmet (Obarrio) ,Obarrio,13,232,12.1
207,Poké ,San Francisco,13,291,12.3
371,Buco Pollo (Marbella) ,Marbella/Area Bancaria,13,150,12.5
609,The Buffalo House (San Francisco) ,San Francisco,13,187,9.4
366,Deli Gourmet (Costa del Este) ,Costa del Este,13,175,12
605,Macau Express (Centennial) ,Condado del Rey,13,77,10.9
368,Leto Coffee Brew Bar (Costa del Este) ,Costa del Este,13,165,13.8
356,Chicken Sabroso (Costa del Este) ,Costa del Este,13,262,12.8
200,Green Tea House ,El Carmen/El Cangrejo,13,176,13.4
603,Domino's Pizza (El Dorado) ,El Dorado/Bethania,13,114,10.5
353,La Inmaculada (El Dorado) ,El Dorado/Bethania,13,277,12.2
478,Pollo Tropical (Multiplaza) ,Paitilla/Punta Pacifica,13,216,11.2
199,Katané Speedy Pizza (Bella Vista) ,Bella Vista,13,558,12.8
228,dipndip (Multiplaza) ,Paitilla/Punta Pacifica,13,979,12.8
467,Wing Zone (San Francisco) ,San Francisco,13,396,11.6
378,Farfalle ,Costa del Este,14,95,12.5
370,Ferretti (Street Mall) ,San Francisco,14,160,12.7
421,Boulevard Cafe Albrook ,Albrook/Clayton,14,117,12.5
295,Cafe Met ,Albrook/Clayton,14,182,12.8
456,Ihop Fresh And Go (El Dorado) ,El Dorado/Bethania,14,151,11.8
302,Deli Gourmet (Business Park) ,Costa del Este,14,130,12.6
299,Athens Pizza (San Francisco) ,San Francisco,14,156,12.5
301,Siete Granos ,San Francisco,14,136,13.5
305,Brivaro ,El Carmen/El Cangrejo,14,111,12.9
358,Athanasiou (Decapolis) ,Paitilla/Punta Pacifica,14,234,13.1
357,Tosto Coffee Co (San Francisco) ,San Francisco,14,238,13.6
508,Pizza Hut (Calle 50) ,Marbella/Area Bancaria,14,85,11.7
323,Athanasiou (Costa del Este) ,Costa del Este,14,823,13.2
488,Juice Market (Altaplaza Mall) ,Condado del Rey,14,112,11.1
484,Pig Backside ,San Francisco,14,134,12.2
409,Ihop Fresh & Go (Altaplaza)  ,Condado del Rey,14,191,12.1
423,Soulfish Poke (Costa del Este) ,Costa del Este,14,106,11.9
386,La Inmaculada (Marbella) ,Marbella/Area Bancaria,14,572,11.8
243,Los Tacos de Villa ,Bella Vista,14,187,12.6
579,Casa Sucre Coffe House ,Casco Antiguo,14,76,13.1
611,Wing Zone (El Dorado) ,El Dorado/Bethania,14,109,9.7
610,Rock Burger (Calle 50) ,San Francisco,14,121,10
250,Banh Mi ,Marbella/Area Bancaria,14,111,13.4
613,Pizza Hut (Tumba Muerto) ,El Dorado/Bethania,14,107,10.1
240,Bistro Mkt ,Costa del Este,14,243,12.6
572,Green Bar (San Francisco) ,San Francisco,14,131,12
239,Norexpress ,El Dorado/Bethania,14,260,11.9
588,Pita-Pan Kosher ,Paitilla/Punta Pacifica,14,87,10.1
270,Athen's Pizza (El Dorado) ,El Dorado/Bethania,15,737,11.8
505,Sushi Express (Costa del Este) ,Costa del Este,15,156,11.6
591,Armónica Café ,El Carmen/El Cangrejo,15,77,11.8
341,Athens Pizza (Costa del Este) ,Costa del Este,15,420,12.3
589,Brasas & Gourmet ,El Carmen/El Cangrejo,15,124,11.5
400,Fitness Food (Albrook) ,Albrook/Clayton,15,284,11.6
349,Pho Vietnam ,Costa del Este,15,322,12.1
454,Sushi Express (El Dorado) ,El Dorado/Bethania,15,189,12.2
330,Mamma Rosa ,Condado del Rey,15,522,11.7
319,Athanasiou (San Francisco) ,San Francisco,15,1071,12.8
403,Tomato (San Francisco) ,San Francisco,15,226,12.3
500,Sushi Express (Condado del Rey) ,Condado del Rey,15,282,11.8
221,Esa Flaca Rica (San Francisco) ,San Francisco,15,1893,13.1
585,Bora ,El Carmen/El Cangrejo,15,107,11.9
324,Oink House (Condado del Rey) ,Condado del Rey,15,801,12.4
498,Fuddruckers (Altaplaza) ,Condado del Rey,15,443,12.1
326,El Trapiche (Albrook Mall) ,Albrook/Clayton,15,648,12.3
327,La Reina Sazón Latina (Albrook) ,Albrook/Clayton,15,586,12.5
320,El Trapiche (El Cangrejo) ,El Carmen/El Cangrejo,15,1030,12.6
229,Mentiritas Blancas ,El Carmen/El Cangrejo,15,780,13.3
431,Kouzina (Costa del Este) ,Costa del Este,15,698,11.9
513,Beauty And The Butcher ,Casco Antiguo,15,418,12.4
205,Talulú ,San Francisco,15,564,13.5
554,Pizza al Forno (Condado del Rey) ,Condado del Rey,15,102,11.9
284,La Reina Sazón Latina (Costa del Este) ,Costa del Este,15,314,13.3
444,Rice & Noodles ,Albrook/Clayton,15,301,12.2
379,Cafe Unido (Marbella II) ,Marbella/Area Bancaria,15,86,12.9
373,La Vaquita (Via España) ,San Francisco,15,137,12.5
415,China Hour ,Obarrio,15,175,12.1
428,Smashburger ,Marbella/Area Bancaria,15,918,12.2
280,Brun ,Marbella/Area Bancaria,15,363,12.5
201,Hambre ,Obarrio,15,85,14.2
436,Fatburger ,Costa del Este,15,622,12.2
618,Don Blas (Bella Vista) ,Bella Vista,15,256,10.2
420,Beat Burger Punto ,Marbella/Area Bancaria,15,118,12.6
576,La Nostra Pizza (Multicentro) ,Marbella/Area Bancaria,15,86,11.3
249,Sabor Viet (Bella Vista) ,Bella Vista,15,113,12.8
306,Fitness Food (Multiplaza) ,Paitilla/Punta Pacifica,15,106,12.3
364,Saint-honoré (Punta Pacífica) ,Paitilla/Punta Pacifica,15,176,13.1
562,T.Bar (Ciudad del Saber) ,Albrook/Clayton,15,79,12.3
348,Casco Burger (Casco Antiguo) ,Casco Antiguo,16,334,12.9
387,Tomato (Punta Pacifica) ,Paitilla/Punta Pacifica,16,560,12.1
457,Papa Jhon's (Obarrio) ,Obarrio,16,126,11.8
473,Pixvae Mercadito Panameño ,San Francisco,16,267,12.3
396,Cafe Unido (Costa del Este 2) ,Costa del Este,16,324,12.7
388,Cafe Unido (Multiplaza) ,Paitilla/Punta Pacifica,16,478,12.4
393,Wingstop (San Francisco) ,San Francisco,16,382,12.8
360,Café Unido (Marbella) ,Marbella/Area Bancaria,16,223,12.9
375,Chick N Pop ,Obarrio,16,111,13.2
471,Sushi House (Albrook) ,Albrook/Clayton,16,320,11
369,Sabor Sazon Panama ,San Francisco,16,163,13.1
212,Karma Café (San Francisco) ,San Francisco,16,164,13.1
227,Athen's Pizza (Obarrio) ,Obarrio,16,1503,12.2
547,Lattemiele ,Obarrio,16,76,13
329,Café Unido (Coco del Mar) ,San Francisco,16,545,12.9
338,Barrio Pizza (San Francisco) ,San Francisco,16,436,12.7
553,821 Taqueria & Spot ,San Francisco,16,103,12.9
265,Barrio Pizza (Casco Antiguo) ,Casco Antiguo,16,968,13
535,Cerditos (San Francisco) ,San Francisco,16,191,10.7
533,Sushi Express (Punta Pacifica) ,Paitilla/Punta Pacifica,16,602,10.7
417,La Crema y Nata ,Costa del Este,16,132,12.7
292,Giorgio's (Albrook Mall) ,Albrook/Clayton,16,204,12.7
573,Papa John's (Albrook) ,Albrook/Clayton,16,115,11.3
410,Barrio Pizza (Marbella) ,Marbella/Area Bancaria,16,190,12.8
251,Coffee Max ,El Carmen/El Cangrejo,16,107,13.1
248,Moccas's Amsterdam ,Costa del Este,16,118,14
481,Taglios Gastrobar ,Marbella/Area Bancaria,16,165,12
582,Nostra Pizza ,El Dorado/Bethania,16,376,11.4
223,Esa Flaca Rica (Costa del Este) ,Costa del Este,16,1678,12.7
235,Kaifish (Balboa Boutiques) ,Marbella/Area Bancaria,16,376,13.3
315,Panos Kretan House (Bella Vista) ,Bella Vista,16,1237,11.7
451,Sushi Express (Area Bancaria) ,Marbella/Area Bancaria,16,199,12
404,Jeffrey's ,Paitilla/Punta Pacifica,16,214,12.5
430,Sorrento ,San Francisco,16,736,12.1
494,Churreria Manolo (Via Argentina) ,El Carmen/El Cangrejo,16,596,11.3
586,Bliss Grill Panama ,El Carmen/El Cangrejo,16,104,12.1
331,Sangucheria Lima 507 ,San Francisco,16,514,12.6
584,Piloto ,San Francisco,16,130,11.1
333,Paraiso Cafe ,San Francisco,16,506,13.5
449,La Milonga ,Marbella/Area Bancaria,17,229,12.1
442,Maisa (Casco Antiguo) ,Casco Antiguo,17,319,11.8
465,Del Prado ,El Carmen/El Cangrejo,17,491,11.1
433,Pizzeria Italia (Tumba Muerto) ,El Dorado/Bethania,17,628,11.8
429,Costa Azul ,Marbella/Area Bancaria,17,856,11.8
391,Sushi House (Costa del Este) ,Costa del Este,17,410,11.8
418,Café Ejecutivo (Hotel Ejecutivo) ,Bella Vista,17,128,12.1
432,Boulevard Balboa ,Bella Vista,17,654,12.1
583,Papa John's (Centennial) ,Condado del Rey,17,132,11
376,Kaifish (Costa del Este) ,Costa del Este,17,111,12.9
206,Caffe Per Due ,Casco Antiguo,17,293,13.7
604,Los Carbones Steak House ,El Dorado/Bethania,17,105,11.2
599,Papa John's (Costa del Este) ,Costa del Este,17,430,9.7
587,La Mexicanita (Bella Vista) ,Bella Vista,17,95,10.6
256,We Fresh Market (San Francisco) ,San Francisco,17,93,13.3
555,Cafe Collins ,Obarrio,17,94,12.4
263,Ihop (Costa del Este) ,Costa del Este,17,1674,12.9
267,Barrio Pizza (Costa del Este) ,Costa del Este,17,900,13.1
271,El Trapiche (San Francisco) ,San Francisco,17,733,13.3
545,Pizzeria Casco 507 ,Casco Antiguo,17,133,13.1
275,Viarepa ,San Francisco,17,496,12.8
532,A Dos Veinte Panamá ,El Carmen/El Cangrejo,17,109,11.7
530,Los Toneles (Centennial) ,Condado del Rey,17,235,10.6
384,Oh - Toro (Condado del Rey) ,Condado del Rey,17,717,12.2
297,Ajisen Ramen ,Obarrio,17,173,13.4
525,Tambal ,San Francisco,17,77,12
510,Pizza & Wings Sport Bar ,Obarrio,17,83,12.5
363,Café Neto (Hospital Punta Pacífica) ,Paitilla/Punta Pacifica,17,179,12.8
354,Los Tarascos (Altos de Panamá) ,Condado del Rey,17,273,12
475,Bushido Sushi and Japanese Food ,Bella Vista,17,239,11.3
516,Cerditos (Condado del Rey) ,Condado del Rey,17,208,11.1
346,Executive Cafe ,Bella Vista,17,358,12.6
337,100 Montaditos ,Paitilla/Punta Pacifica,17,453,12.8
350,Sen Vietnam ,El Carmen/El Cangrejo,17,317,12
322,Restaurante Vietnamita ,San Francisco,17,924,11.9
318,Los Tarascos (El Carmen) ,El Carmen/El Cangrejo,17,1126,12.3
479,Red Chicken (Costa del Este) ,Costa del Este,18,199,11.9
528,Peskito (Centenial) ,Condado del Rey,18,391,11.4
443,Oh - Toro (Albrook Mall) ,Albrook/Clayton,18,313,12.4
502,Taberna la Malagueña (Calle Uruguay) ,Bella Vista,18,258,12.1
458,La Vaca Lola ,Condado del Rey,18,125,12.3
450,Katsudon ,Condado del Rey,18,222,11.9
518,Chuck E Cheese (Multiplaza) ,Paitilla/Punta Pacifica,18,180,12
